%time sig_in sig_out
0.002942 0.00414729879481 0.122654957471
0.002943 0.00400561606725 0.120592500656
0.002944 0.00386639085683 0.118520452707
0.002945 0.00372962350706 0.11643901639
0.002946 0.00359531435541 0.114348395453
0.002947 0.00346346373327 0.112248794605
0.002948 0.00333407196597 0.110140419493
0.002949 0.00320713937277 0.10802347668
0.00295 0.00308266626687 0.105898173628
0.002951 0.00296065295539 0.103764718669
0.002952 0.00284109973939 0.101623320989
0.002953 0.00272400691384 0.0994741906067
0.002954 0.00260937476768 0.0973175383467
0.002955 0.00249720358373 0.0951535758219
0.002956 0.00238749363877 0.0929825154104
0.002957 0.00228024520351 0.0908045702332
0.002958 0.00217545854256 0.0886199541324
0.002959 0.00207313391447 0.0864288816493
0.00296 0.00197327157173 0.0842315680021
0.002961 0.00187587176073 0.0820282290637
0.002962 0.00178093472179 0.0798190813397
0.002963 0.00168846068916 0.077604341946
0.002964 0.00159844989102 0.0753842285865
0.002965 0.00151090254946 0.0731589595308
0.002966 0.00142581888049 0.0709287535919
0.002967 0.00134319909405 0.0686938301037
0.002968 0.00126304339398 0.0664544088989
0.002969 0.00118535197808 0.0642107102859
0.00297 0.00111012503803 0.0619629550271
0.002971 0.00103736275945 0.0597113643158
0.002972 0.000967065321875 0.057456159754
0.002973 0.000899232898755 0.0551975633296
0.002974 0.00083386565746 0.0529357973942
0.002975 0.000770963759277 0.0506710846403
0.002976 0.000710527359411 0.0484036480786
0.002977 0.000652556606982 0.0461337110159
0.002978 0.000597051645027 0.0438614970319
0.002979 0.0005440126105 0.0415872299568
0.00298 0.000493439634268 0.0393111338489
0.002981 0.000445332841117 0.0370334329719
0.002982 0.000399692349743 0.034754351772
0.002983 0.000356518272762 0.0324741148559
0.002984 0.0003158107167 0.0301929469674
0.002985 0.000277569781999 0.0279110729655
0.002986 0.000241795563016 0.0256287178016
0.002987 0.000208488148019 0.0233461064968
0.002988 0.000177647619191 0.0210634641195
0.002989 0.000149274052628 0.0187810157627
0.00299 0.000123367518339 0.0164989865217
0.002991 9.99280802465e-05 0.0142176014716
0.002992 7.89557961839e-05 0.0119370856445
